rowID,fishID,lake,SL_cm,meanScaleCirculiSpacing,ascendingProcess_cm,bodyDepth_cm,orbitDiameter_cm,headDepth_cm,jawLength_cm,speciesDiagnosticColoration
208,A425,Barombi Mbo,3.866,44.00680453,0.412150045,1.351510862,0.432718475,0.820358026,0.596125225,pindu
209,A426,Barombi Mbo,4.458,48.52327653,0.426626542,1.457018448,0.483971197,0.947972134,0.628687554,ambiguous
210,A429,Barombi Mbo,3.665,35.03684458,0.370432067,1.13561637,0.461838246,0.792311379,0.589106203,mariae
211,A430,Barombi Mbo,6.055,43.69090065,0.549442256,2.106204603,0.694774028,1.4195577,0.979365371,mariae
212,A431,Barombi Mbo,7.416,46.642,0.740358387,2.7768177,0.880515196,1.74870163,1.287965301,mariae
213,A434,Barombi Mbo,5.64,32.57190693,0.556129229,1.9194619,0.635908885,1.343703892,0.949878459,pindu
214,A436,Barombi Mbo,4.233,41.43203193,0.403716223,1.471640377,0.516957103,0.966895733,0.644647655,pindu
215,A438,Barombi Mbo,5.28,42.06400215,0.559111021,1.888780496,0.594168528,1.241029574,0.804437097,pindu
216,A440,Barombi Mbo,6.725,44.88489964,0.669555246,2.354976694,0.691717647,1.449052829,1.055527889,ambiguous
217,A441,Barombi Mbo,3.623,37.49215764,0.344989442,1.23611308,0.449879806,0.769809451,0.543347116,pindu
218,A442,Barombi Mbo,4.165,39.60886149,0.40423518,1.358722873,0.450339519,0.88554567,0.62287095,ambiguous
219,A443,Barombi Mbo,3.972,28.95040776,0.374933262,1.241526965,0.507090446,0.885189621,0.635186696,mariae
220,A444,Barombi Mbo,6.796,77.86375854,0.627939894,2.213539968,0.726358279,1.433515321,1.076259369,mariae
221,A447,Barombi Mbo,5.305,72.48183232,0.510308612,1.769765228,0.61169256,1.107174066,0.804896431,pindu
222,A448,Barombi Mbo,5.536,46.94247231,0.53966762,1.894753642,0.623262786,1.200440114,0.919961637,pindu
223,A451,Barombi Mbo,5.522,44.43565664,0.578135067,1.891224546,0.612455273,1.112723339,0.865276209,pindu
224,A454,Barombi Mbo,4.428,34.2299203,0.465948534,1.497291682,0.520526631,0.954411011,0.69189228,pindu
225,A457,Barombi Mbo,6.505,36.56441123,0.600018705,2.309834557,0.672107342,1.471020858,0.998782299,pindu
226,A462,Barombi Mbo,2.745,32.73777953,0.291316114,0.954939798,0.317064297,0.57749345,0.402335013,pindu
227,A463,Barombi Mbo,3.945,41.78406733,0.416282044,1.38168787,0.452399104,0.946423466,0.623616267,ambiguous
228,A465,Barombi Mbo,5.575,40.69044508,0.555893427,1.931828194,0.687256758,1.302496708,0.921019487,pindu
229,A466,Barombi Mbo,4.87,45.87388732,0.486891287,1.658442508,0.508465371,1.058029043,0.76305598,pindu
230,A467,Barombi Mbo,5.275,89.68513456,0.589042976,1.808954922,0.547949736,1.199256689,0.839181742,ambiguous
231,A468,Barombi Mbo,6.988,51.80702323,0.649693952,2.554355614,0.73364343,1.72624004,1.032460985,pindu
232,A471,Barombi Mbo,3.003,26.7441694,0.303588995,0.980064616,0.383583147,0.639803393,0.452861861,ambiguous
